<<<<<<< HEAD
Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Curricular units 2nd sem (evaluations),Age at enrollment,Unemployment rate,Target
6,13,6,0,6,19,13,1
0,0,6,0,0,19,10,0
5,12,6,1,10,20,9,1
6,13,6,1,6,45,13,1
8,14,8,1,8,18,15,1
0,0,5,0,5,22,15,0
6,14,6,1,7,21,16,1
2,13,6,0,14,18,8,0
5,14,6,1,7,18,13,1
7,13,8,1,8,18,12,1
0,0,6,1,0,19,12,0
5,11,6,1,8,21,8,1
5,12,5,1,5,18,10,1
0,0,6,1,7,20,15,0
2,11,6,1,14,18,10,2
8,14,8,1,8,18,15,1
4,12,5,1,8,20,10,1
6,13,7,1,8,18,16,2
8,11,8,1,9,20,12,2
7,12,8,1,12,18,12,1
6,12,6,1,7,19,11,1
7,14,8,1,9,19,11,1
4,11,6,1,12,18,7,2
6,13,6,1,9,21,16,1
4,13,5,1,7,18,9,2
5,12,5,1,6,20,16,1
6,13,7,1,7,19,16,2
4,13,6,1,9,20,8,1
2,13,5,0,8,18,8,2
6,14,6,1,8,19,12,1
5,13,5,1,9,34,13,1
1,10,7,0,7,37,8,0
0,0,5,1,0,43,7,0
2,12,5,1,8,55,16,0
5,11,5,1,5,39,7,1
0,0,5,1,5,18,12,0
5,15,5,1,5,22,8,1
7,14,8,1,9,22,11,1
5,13,6,0,7,20,12,0
0,0,5,1,0,29,16,0
3,14,5,1,11,24,7,2
5,13,6,1,8,18,11,1
7,13,8,1,9,22,11,1
6,12,6,1,7,19,12,1
6,14,6,1,6,24,12,1
6,11,8,1,10,19,9,2
3,11,6,1,12,20,9,2
5,15,5,1,5,19,7,1
5,11,5,1,10,27,9,0
8,13,8,1,10,18,15,1
0,0,6,1,6,39,12,0
8,14,8,1,8,18,9,1
7,12,8,1,12,18,16,1
1,10,6,1,8,19,10,2
0,0,6,1,6,24,12,2
6,12,6,1,7,23,8,1
4,10,5,1,10,19,16,0
5,10,6,1,8,26,12,2
0,0,5,1,5,18,7,2
8,13,8,1,8,24,13,1
1,12,6,1,12,18,12,0
3,12,6,1,11,18,10,1
3,10,5,1,11,18,10,0
1,11,6,1,11,21,9,0
6,13,6,1,6,19,8,1
8,15,8,1,9,22,16,1
6,11,6,1,6,33,10,1
5,12,6,1,7,20,10,0
0,0,5,1,0,35,10,0
3,11,5,1,8,18,12,2
5,11,6,1,11,33,9,1
7,13,8,1,8,22,10,1
5,11,5,1,7,25,9,1
5,11,6,1,6,20,7,1
5,13,5,1,5,23,11,2
0,0,5,1,9,18,15,2
0,0,7,1,7,24,13,0
6,13,6,0,6,21,8,1
0,0,6,1,6,26,8,0
0,0,6,1,14,39,7,0
6,12,6,1,7,44,12,1
3,13,5,1,11,19,13,2
6,13,6,1,6,18,8,1
8,14,8,1,9,18,12,1
5,13,5,1,7,19,12,2
0,0,7,0,7,19,13,0
0,0,6,1,0,36,9,0
0,0,6,1,0,19,11,0
0,0,6,1,0,19,16,0
5,12,7,1,10,20,12,0
3,13,7,1,10,20,16,2
6,15,6,1,6,18,13,1
3,11,5,1,11,18,8,2
5,12,5,1,5,19,10,1
6,12,6,1,7,18,10,1
6,12,7,1,7,18,7,0
7,13,7,1,7,20,13,2
4,10,6,1,12,20,7,2
3,10,5,1,10,20,12,2
5,11,5,1,6,18,9,1
5,14,5,1,5,18,11,1
2,11,6,1,12,21,9,0
4,11,5,1,9,19,16,1
5,14,5,1,5,19,9,1
6,12,6,1,13,19,15,1
0,0,7,1,0,19,13,0
5,13,6,1,7,18,9,2
6,13,6,1,6,18,12,1
8,15,8,1,9,19,12,1
7,13,8,1,9,18,13,0
6,13,6,1,6,18,7,1
5,14,5,1,5,19,8,1
0,0,7,1,7,19,13,0
4,12,6,0,9,19,12,0
4,11,5,1,5,20,7,1
6,14,6,1,6,18,8,1
7,12,8,1,9,20,11,2
8,17,8,1,8,18,13,1
6,12,7,1,7,19,7,1
5,12,6,1,10,19,12,1
0,0,5,0,7,22,8,2
6,11,6,1,6,19,12,1
8,12,8,1,11,19,15,1
5,10,6,1,9,19,9,1
0,0,5,1,10,19,7,0
3,11,6,1,12,20,7,0
5,14,5,1,9,18,13,1
7,14,8,1,9,20,11,1
5,13,5,1,6,19,7,1
5,10,6,1,10,18,9,2
5,11,6,1,8,18,7,1
3,10,6,1,12,21,9,0
4,11,6,1,10,19,7,0
5,11,5,1,5,18,12,1
6,11,6,1,7,18,12,1
6,11,6,1,9,20,9,1
5,12,6,1,9,24,11,1
6,13,6,1,9,19,10,0
7,12,8,1,12,18,15,1
8,15,8,1,8,18,15,1
3,11,6,1,10,21,10,0
5,14,5,1,5,19,7,1
6,13,6,1,7,19,15,1
0,0,6,1,0,47,8,2
4,11,6,1,12,19,13,1
2,11,6,1,12,21,16,0
4,10,5,1,11,28,12,2
8,13,8,1,8,20,15,1
6,11,7,1,7,19,7,1
5,12,6,1,8,26,9,1
6,13,6,0,6,20,11,0
